[2020-04-05T12:58:46.058+0500][gc,heap] Heap region size: 1M
[2020-04-05T12:58:46.065+0500][gc     ] Using G1
[2020-04-05T12:58:46.065+0500][gc,heap,coops] Heap address: 0x00000007e0000000, size: 512 MB, Compressed Oops mode: Zero based, Oop shift amount: 3
[2020-04-05T12:58:49.091+0500][gc,start     ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-05T12:58:49.092+0500][gc,task      ] GC(0) Using 4 workers of 4 for evacuation
[2020-04-05T12:58:49.100+0500][gc,phases    ] GC(0)   Pre Evacuate Collection Set: 0.0ms
[2020-04-05T12:58:49.100+0500][gc,phases    ] GC(0)   Evacuate Collection Set: 7.5ms
[2020-04-05T12:58:49.100+0500][gc,phases    ] GC(0)   Post Evacuate Collection Set: 0.4ms
[2020-04-05T12:58:49.100+0500][gc,phases    ] GC(0)   Other: 0.5ms
[2020-04-05T12:58:49.100+0500][gc,heap      ] GC(0) Eden regions: 25->0(21)
[2020-04-05T12:58:49.100+0500][gc,heap      ] GC(0) Survivor regions: 0->4(4)
[2020-04-05T12:58:49.100+0500][gc,heap      ] GC(0) Old regions: 0->3
[2020-04-05T12:58:49.100+0500][gc,heap      ] GC(0) Humongous regions: 0->0
[2020-04-05T12:58:49.100+0500][gc,metaspace ] GC(0) Metaspace: 15351K->15351K(1062912K)
[2020-04-05T12:58:49.100+0500][gc           ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 25M->6M(512M) 8.663ms
[2020-04-05T12:58:49.100+0500][gc,cpu       ] GC(0) User=0.03s Sys=0.01s Real=0.01s
[2020-04-05T18:30:29.958+0500][gc,start     ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-05T18:30:29.970+0500][gc,task      ] GC(1) Using 4 workers of 4 for evacuation
[2020-04-05T18:30:30.207+0500][gc,mmu       ] GC(1) MMU target violated: 21.0ms (20.0ms/21.0ms)
[2020-04-05T18:30:30.207+0500][gc,phases    ] GC(1)   Pre Evacuate Collection Set: 11.7ms
[2020-04-05T18:30:30.207+0500][gc,phases    ] GC(1)   Evacuate Collection Set: 206.7ms
[2020-04-05T18:30:30.207+0500][gc,phases    ] GC(1)   Post Evacuate Collection Set: 3.7ms
[2020-04-05T18:30:30.207+0500][gc,phases    ] GC(1)   Other: 29.5ms
[2020-04-05T18:30:30.207+0500][gc,heap      ] GC(1) Eden regions: 21->0(24)
[2020-04-05T18:30:30.208+0500][gc,heap      ] GC(1) Survivor regions: 4->1(4)
[2020-04-05T18:30:30.208+0500][gc,heap      ] GC(1) Old regions: 3->6
[2020-04-05T18:30:30.208+0500][gc,heap      ] GC(1) Humongous regions: 0->0
[2020-04-05T18:30:30.208+0500][gc,metaspace ] GC(1) Metaspace: 16013K->16013K(1064960K)
[2020-04-05T18:30:30.208+0500][gc           ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 27M->6M(512M) 250.366ms
[2020-04-05T18:30:30.208+0500][gc,cpu       ] GC(1) User=0.02s Sys=0.17s Real=0.25s
[2020-04-06T00:00:54.933+0500][gc,start     ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-06T00:00:54.933+0500][gc,task      ] GC(2) Using 4 workers of 4 for evacuation
[2020-04-06T00:00:55.022+0500][gc,mmu       ] GC(2) MMU target violated: 21.0ms (20.0ms/21.0ms)
[2020-04-06T00:00:55.022+0500][gc,phases    ] GC(2)   Pre Evacuate Collection Set: 13.4ms
[2020-04-06T00:00:55.022+0500][gc,phases    ] GC(2)   Evacuate Collection Set: 63.1ms
[2020-04-06T00:00:55.022+0500][gc,phases    ] GC(2)   Post Evacuate Collection Set: 2.3ms
[2020-04-06T00:00:55.022+0500][gc,phases    ] GC(2)   Other: 9.7ms
[2020-04-06T00:00:55.022+0500][gc,heap      ] GC(2) Eden regions: 24->0(24)
[2020-04-06T00:00:55.022+0500][gc,heap      ] GC(2) Survivor regions: 1->1(4)
[2020-04-06T00:00:55.022+0500][gc,heap      ] GC(2) Old regions: 6->6
[2020-04-06T00:00:55.022+0500][gc,heap      ] GC(2) Humongous regions: 0->0
[2020-04-06T00:00:55.022+0500][gc,metaspace ] GC(2) Metaspace: 16023K->16023K(1064960K)
[2020-04-06T00:00:55.023+0500][gc           ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 30M->5M(512M) 89.635ms
[2020-04-06T00:00:55.023+0500][gc,cpu       ] GC(2) User=0.01s Sys=0.06s Real=0.09s
[2020-04-06T12:46:51.155+0500][gc,start     ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-06T12:46:51.170+0500][gc,task      ] GC(3) Using 4 workers of 4 for evacuation
[2020-04-06T12:46:51.374+0500][gc,mmu       ] GC(3) MMU target violated: 21.0ms (20.0ms/21.0ms)
[2020-04-06T12:46:51.375+0500][gc,phases    ] GC(3)   Pre Evacuate Collection Set: 7.5ms
[2020-04-06T12:46:51.375+0500][gc,phases    ] GC(3)   Evacuate Collection Set: 175.5ms
[2020-04-06T12:46:51.375+0500][gc,phases    ] GC(3)   Post Evacuate Collection Set: 3.0ms
[2020-04-06T12:46:51.375+0500][gc,phases    ] GC(3)   Other: 54.4ms
[2020-04-06T12:46:51.375+0500][gc,heap      ] GC(3) Eden regions: 24->0(24)
[2020-04-06T12:46:51.375+0500][gc,heap      ] GC(3) Survivor regions: 1->1(4)
[2020-04-06T12:46:51.375+0500][gc,heap      ] GC(3) Old regions: 6->6
[2020-04-06T12:46:51.375+0500][gc,heap      ] GC(3) Humongous regions: 0->0
[2020-04-06T12:46:51.375+0500][gc,metaspace ] GC(3) Metaspace: 16034K->16034K(1064960K)
[2020-04-06T12:46:51.375+0500][gc           ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 29M->5M(512M) 220.491ms
[2020-04-06T12:46:51.375+0500][gc,cpu       ] GC(3) User=0.02s Sys=0.09s Real=0.22s
[2020-04-06T16:48:38.851+0500][gc,start     ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-06T16:48:38.864+0500][gc,task      ] GC(4) Using 4 workers of 4 for evacuation
[2020-04-06T16:48:38.944+0500][gc,mmu       ] GC(4) MMU target violated: 21.0ms (20.0ms/21.0ms)
[2020-04-06T16:48:38.944+0500][gc,phases    ] GC(4)   Pre Evacuate Collection Set: 12.2ms
[2020-04-06T16:48:38.944+0500][gc,phases    ] GC(4)   Evacuate Collection Set: 58.8ms
[2020-04-06T16:48:38.944+0500][gc,phases    ] GC(4)   Post Evacuate Collection Set: 1.4ms
[2020-04-06T16:48:38.944+0500][gc,phases    ] GC(4)   Other: 30.9ms
[2020-04-06T16:48:38.944+0500][gc,heap      ] GC(4) Eden regions: 24->0(24)
[2020-04-06T16:48:38.944+0500][gc,heap      ] GC(4) Survivor regions: 1->1(4)
[2020-04-06T16:48:38.944+0500][gc,heap      ] GC(4) Old regions: 6->6
[2020-04-06T16:48:38.944+0500][gc,heap      ] GC(4) Humongous regions: 0->0
[2020-04-06T16:48:38.944+0500][gc,metaspace ] GC(4) Metaspace: 16034K->16034K(1064960K)
[2020-04-06T16:48:38.945+0500][gc           ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 29M->5M(512M) 94.280ms
[2020-04-06T16:48:38.945+0500][gc,cpu       ] GC(4) User=0.01s Sys=0.05s Real=0.09s
[2020-04-06T20:56:33.420+0500][gc,start     ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-06T20:56:33.425+0500][gc,task      ] GC(5) Using 4 workers of 4 for evacuation
[2020-04-06T20:56:33.463+0500][gc,mmu       ] GC(5) MMU target violated: 21.0ms (20.0ms/21.0ms)
[2020-04-06T20:56:33.463+0500][gc,phases    ] GC(5)   Pre Evacuate Collection Set: 10.3ms
[2020-04-06T20:56:33.463+0500][gc,phases    ] GC(5)   Evacuate Collection Set: 24.5ms
[2020-04-06T20:56:33.463+0500][gc,phases    ] GC(5)   Post Evacuate Collection Set: 0.3ms
[2020-04-06T20:56:33.463+0500][gc,phases    ] GC(5)   Other: 9.9ms
[2020-04-06T20:56:33.463+0500][gc,heap      ] GC(5) Eden regions: 24->0(24)
